"","typeH","typeN"
"NA.40490","7.61711252303748e-15","8.30277983393861e-15"
"NA.40491","2.9614441998619e-20","3.65228532582846e-20"
"NA.40492","5.26260453068454e-15","7.1235792836503e-15"
"NA.40493","9.06884974335178e-18","3.89053245929768e-18"
"NA.40494","1.4128052487199e-16","1.75140132574414e-16"
"NA.40495","1.03583795064181e-10","1.4451853311935e-10"
"NA.40496","5.24655490537727e-14","1.00115238177011e-13"
"NA.40497","5.71882125863862e-16","3.42442777741636e-15"
"NA.40498","8.16595108416478e-17","1.45388689434344e-16"
"NA.40499","1.02777909947214e-17","7.89516753077536e-18"
"NA.40500","2.69261678299112e-15","4.34088605723134e-15"
"NA.40501","6.10475152832202e-14","1.17137997510268e-13"
"NA.40502","1.2414113688324e-15","1.06860114181925e-15"
"NA.40503","2.9095526343762e-16","3.0038539848492e-16"
"NA.40504","4.99536998151593e-24","5.33864303114256e-24"
"NA.40505","2.66781150703247e-21","2.33104136030665e-21"
"NA.40506","1.04401540666074e-12","1.54282322974873e-12"
"NA.40507","1.97718848724421e-12","3.72065249885411e-12"
"NA.40508","9.44666021834053e-14","1.73919398382768e-13"
"NA.40509","5.12032842666814e-13","7.16033593300444e-13"
"NA.40510","6.84257884862249e-14","7.45762272341641e-14"
"NA.40511","4.98797655528467e-13","9.44049724024085e-13"
"NA.40512","1.94014552816982e-17","1.79985344406227e-17"
"NA.40513","5.25173297130301e-15","7.14527577993207e-15"
"NA.40514","6.11025646304562e-15","1.62201530747848e-15"
"NA.40515","5.80708629128063e-16","1.17583895234744e-15"
"NA.40516","7.50944633583971e-15","1.07042842571076e-14"
"NA.40517","1.0268847940207e-14","1.49860342957481e-14"
"NA.40518","1.67840188529007e-10","3.81323438485895e-09"
"NA.40519","9.9621191972229e-10","7.74653307506379e-10"
"NA.40520","5.20372098930956e-12","1.21423765048596e-11"
"NA.40521","1.9754991124263e-13","6.90730754037039e-14"
"NA.40522","2.5442754900935e-13","3.05250914426288e-13"
"NA.40523","1.11677386966261e-16","1.27372030955563e-16"
"NA.40524","1.60556566696587e-12","5.36342505154772e-13"
"NA.40525","5.59730591266617e-15","6.11729848789927e-15"
"NA.40526","2.84282212013816e-16","7.40444975360639e-17"
"NA.40527","2.38577268442694e-13","1.01537733032495e-13"
"NA.40528","1.02614125211168e-15","1.95021911952577e-15"
